Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	59.051286680	59.551074177	1355.825	2524.635	0.4998	1168.810	-71.76	NOBO
2	Spectrogram 1	1	62.827458875	63.202299498	1234.459	2885.298	0.3748	1650.839	-72.76	NOBO
3	Spectrogram 1	1	66.700811974	67.325546345	1355.825	2663.352	0.6247	1307.527	-73.02	NOBO
4	Spectrogram 1	1	81.791621561	82.090105760	1106.068	2809.459	0.2985	1703.391	-73.30	NOBO
5	Spectrogram 1	1	101.357853103	102.149183306	1165.216	2358.176	0.7913	1192.960	-69.73	NOBO
6	Spectrogram 1	1	103.648546155	104.162216638	1414.906	2302.689	0.5137	887.784	-71.44	NOBO
7	Spectrogram 1	1	117.198341341	117.989671544	1553.622	2718.838	0.7913	1165.216	-72.82	NOBO
8	Spectrogram 1	1	150.622290295	151.177609736	1609.108	2718.838	0.5553	1109.730	-70.77	NOBO
9	Spectrogram 1	1	156.161601716	156.675272199	1387.162	2497.573	0.5137	1110.411	-70.97	NOBO
10	Spectrogram 1	1	157.508251360	157.883091982	1692.338	2330.433	0.3748	638.095	-68.07	NOBO
11	Spectrogram 1	1	158.910432948	159.174209682	1720.081	2385.919	0.2638	665.838	-64.93	NOBO
12	Spectrogram 1	1	209.633264375	209.938690067	784.951	2818.689	0.3054	2033.738	-70.06	NOBO
13	Spectrogram 1	1	217.213375327	217.699279838	1070.388	2354.854	0.4859	1284.466	-70.66	NOBO
14	Spectrogram 1	1	236.775110818	237.423016553	927.670	2219.460	0.6479	1291.790	-69.00	NOBO
15	Spectrogram 1	1	238.934796600	239.625477440	1177.427	2385.919	0.6907	1208.492	-66.76	NOBO
16	Spectrogram 1	1	249.203122956	249.772494662	1331.676	2552.379	0.5694	1220.703	-69.28	NOBO
17	Spectrogram 1	1	266.107574569	266.539511726	1320.146	2604.612	0.4319	1284.466	-72.11	NOBO
18	Spectrogram 1	1	275.821896380	276.023199677	1391.505	2426.214	0.2013	1034.709	-68.16	NOBO
19	Spectrogram 1	1	281.055782454	281.229319780	1498.544	2818.689	0.1735	1320.145	-61.70	NOBO
20	Spectrogram 1	1	295.952227891	296.118825778	1569.903	2341.216	0.1666	771.313	-69.22	NOOB
21	Spectrogram 1	1	299.124492251	299.360503013	1462.864	2783.010	0.2360	1320.146	-71.48	NOBO
22	Spectrogram 1	1	302.546652029	302.810428763	1660.135	2511.486	0.2638	851.351	-72.75	NOBO
23	Spectrogram 1	1	63.535491162	64.285172407	1553.622	2607.865	0.7497	1054.243	-71.79	NOBO
24	Spectrogram 1	1	276.800646894	277.106072586	1404.730	2809.459	0.3054	1404.729	-67.46	NOBO
25	Spectrogram 1	1	277.682216506	277.987642198	1191.892	2468.919	0.3054	1277.027	-70.97	NOBO
26	Spectrogram 1	1	281.652750853	281.854054150	1149.324	2426.351	0.2013	1277.027	-64.69	NOBO
27	Spectrogram 1	1	281.840171164	282.110889392	1745.270	2894.595	0.2707	1149.325	-70.79	NOBO
28	Spectrogram 1	1	282.145596857	282.430198070	1660.135	2979.730	0.2846	1319.595	-67.38	NOBO
29	Spectrogram 1	1	283.901794588	284.346050140	1702.703	2554.054	0.4443	851.351	-70.76	NOBO
30	Spectrogram 1	1	284.804188679	285.067965413	1404.730	2554.054	0.2638	1149.324	-70.52	NOBO
31	Spectrogram 1	1	285.887061588	286.088364886	1575.000	2639.189	0.2013	1064.189	-69.79	NOBO
32	Spectrogram 1	1	288.427651130	288.663661892	1319.595	2468.919	0.2360	1149.324	-72.06	NOBO
33	Spectrogram 1	1	290.065847215	290.315740963	1319.595	2468.919	0.2499	1149.324	-70.64	NOBO
34	Spectrogram 1	1	303.553168515	303.768354798	1489.865	2468.919	0.2152	979.054	-71.16	NOBO
35	Spectrogram 1	1	304.545802015	304.788754270	1489.865	2383.784	0.2430	893.919	-72.16	NOBO
36	Spectrogram 1	1	67.672620995	68.061344604	1442.649	2580.122	0.3887	1137.473	-73.45	NOBO
37	Spectrogram 1	1	102.662854148	103.023811784	1165.216	2663.352	0.3610	1498.135	-72.82	NOBO
38	Spectrogram 1	1	107.313654767	107.674612403	1664.595	2496.892	0.3610	832.297	-72.39	NOBO
39	Spectrogram 1	1	108.729719340	109.118442949	1581.365	2441.406	0.3887	860.041	-72.44	NOBO
40	Spectrogram 1	1	124.250898810	124.667388391	1609.108	2885.298	0.4165	1276.189	-72.07	NOBO
41	Spectrogram 1	1	139.064043724	139.383352403	1331.676	2219.460	0.3193	887.784	-71.70	NOBO
42	Spectrogram 1	1	139.890744236	140.237818886	1414.906	2163.973	0.3471	749.068	-71.47	NOBO
43	Spectrogram 1	1	153.898674995	154.231866660	1747.825	2552.379	0.3332	804.554	-69.73	NOBO
44	Spectrogram 1	1	154.842718045	155.175909709	1609.108	2441.406	0.3332	832.297	-70.60	NOBO
45	Spectrogram 1	1	215.255873712	215.616831348	1359.419	2441.406	0.3610	1081.987	-70.30	NOBO
46	Spectrogram 1	1	223.655080839	224.057687433	1192.960	2663.352	0.4026	1470.392	-69.62	NOBO
47	Spectrogram 1	1	234.890294135	235.400765320	1359.419	2274.946	0.5105	915.527	-70.56	NOBO
48	Spectrogram 1	1	244.864115748	245.276419397	1387.162	2441.406	0.4123	1054.243	-68.96	NOBO
49	Spectrogram 1	1	251.048672625	251.598410824	1470.392	2441.406	0.5497	971.014	-69.55	NOBO
50	Spectrogram 1	1	253.286892435	253.777730113	1636.852	2496.892	0.4908	860.041	-69.97	NOBO
51	Spectrogram 1	1	267.246317982	267.697888645	1414.906	2580.122	0.4516	1165.216	-71.94	NOBO
52	Spectrogram 1	1	268.404694901	268.856265565	1664.595	2607.865	0.4516	943.270	-69.97	NOBO
53	Spectrogram 1	1	269.464904285	269.877207934	1720.081	2607.865	0.4123	887.784	-72.37	NOBO
54	Spectrogram 1	1	270.799982769	271.251553432	1498.135	2691.095	0.4516	1192.960	-72.00	NOBO
55	Spectrogram 1	1	286.793298795	287.284136473	1498.135	2635.608	0.4908	1137.473	-72.93	NOBO
