Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
112	Spectrogram 1	1	489.750458317	490.291894774	1457.396	2493.766	0.5414	1036.370	-74.88	NOBO
113	Spectrogram 1	1	490.514022551	490.833331230	1522.169	2558.539	0.3193	1036.370	-76.30	NOBO
114	Spectrogram 1	1	491.041576021	491.333118728	1522.169	2688.085	0.2915	1165.917	-75.40	NOBO
115	Spectrogram 1	1	493.373918266	494.109716527	1522.169	2493.766	0.7358	971.597	-75.03	NOBO
116	Spectrogram 1	1	494.873280760	495.206472426	1392.623	2234.673	0.3332	842.051	-68.35	NOBO
117	Spectrogram 1	1	496.372643463	497.011260822	1586.942	2590.926	0.6386	1003.984	-74.40	NOBO
118	Spectrogram 1	1	497.386101445	498.010835818	1489.782	2590.926	0.6247	1101.143	-62.45	NOBO
119	Spectrogram 1	1	498.788283226	499.218655794	1522.169	2882.405	0.4304	1360.236	-75.39	NOBO
120	Spectrogram 1	1	499.621262390	500.023868986	1425.009	2979.564	0.4026	1554.555	-76.04	NOBO
121	Spectrogram 1	1	500.051634958	500.357060651	1327.849	3011.951	0.3054	1684.102	-75.82	NOBO
122	Spectrogram 1	1	499.260304753	499.593496418	1198.303	3076.724	0.3332	1878.421	-75.22	NOBO
123	Spectrogram 1	1	500.759667247	501.287220717	1586.942	3044.338	0.5276	1457.396	-61.60	NOBO
124	Spectrogram 1	1	502.078550923	502.425625574	1295.463	2364.220	0.3471	1068.757	-73.06	NOBO
125	Spectrogram 1	1	505.313286674	505.785308201	1522.169	2234.673	0.4720	712.505	-67.94	NOBO
126	Spectrogram 1	1	506.215680768	506.673819308	1522.169	2364.220	0.4581	842.051	-61.80	NOBO
127	Spectrogram 1	1	507.159723820	507.631745346	1360.236	2493.766	0.4720	1133.530	-75.33	NOBO
128	Spectrogram 1	1	508.992277843	509.283820550	1651.715	2364.220	0.2915	712.505	-76.46	NOBO
129	Spectrogram 1	1	516.253079112	516.697334666	1425.009	3173.884	0.4443	1748.875	-76.18	NOBO
130	Spectrogram 1	1	517.086058275	517.780207578	1489.782	2882.405	0.6941	1392.623	-75.52	NOBO
131	Spectrogram 1	1	522.056167017	522.847497222	1619.329	2850.018	0.7913	1230.690	-74.03	NOBO
132	Spectrogram 1	1	527.609361229	528.053616783	1457.396	3076.724	0.4443	1619.329	-74.84	NOBO
133	Spectrogram 1	1	528.220212615	528.678351155	1586.942	3141.497	0.4581	1554.555	-74.40	NOBO
134	Spectrogram 1	1	528.747766086	529.233670598	1619.329	3173.884	0.4859	1554.555	-73.98	NOBO
135	Spectrogram 1	1	523.499997355	523.930369923	1651.715	2914.791	0.4304	1263.076	-74.41	NOBO
136	Spectrogram 1	1	529.761224068	530.191596636	1522.169	3011.951	0.4304	1489.782	-73.66	NOBO
137	Spectrogram 1	1	530.635852188	531.121756700	1619.329	2947.178	0.4859	1327.849	-73.36	NOBO
138	Spectrogram 1	1	534.203779165	534.620268747	1522.169	2655.699	0.4165	1133.530	-73.82	NOBO
139	Spectrogram 1	1	535.356067008	535.744790618	1716.488	2655.699	0.3887	939.211	-74.31	NOBO
140	Spectrogram 1	1	536.438939921	536.744365614	1586.942	2785.245	0.3054	1198.303	-74.90	NOBO
141	Spectrogram 1	1	538.063249290	538.396440955	1295.463	2785.245	0.3332	1489.782	-74.03	NOBO
142	Spectrogram 1	1	539.479313333	539.909685901	1360.236	2396.606	0.4304	1036.370	-72.89	NOBO
143	Spectrogram 1	1	540.881494925	541.311867493	1392.623	2526.152	0.4304	1133.530	-73.32	NOBO
144	Spectrogram 1	1	542.491921308	542.894527904	1263.076	2461.379	0.4026	1198.303	-73.18	NOBO
146	Spectrogram 1	1	548.891977049	549.336232603	1522.169	2817.632	0.4443	1295.463	-73.98	NOBO
147	Spectrogram 1	1	549.808254129	550.294158641	1489.782	2817.632	0.4859	1327.849	-74.93	NOBO
148	Spectrogram 1	1	550.821712111	551.196552735	1619.329	2331.833	0.3748	712.505	-73.64	NOBO
149	Spectrogram 1	1	551.265967665	551.710223219	1425.009	2688.085	0.4443	1263.076	-74.11	NOBO
150	Spectrogram 1	1	552.446021480	553.042989881	1457.396	2752.858	0.5970	1295.463	-74.80	NOBO
151	Spectrogram 1	1	553.806554114	554.278575640	1651.715	2688.085	0.4720	1036.370	-62.14	NOBO
152	Spectrogram 1	1	555.972299575	556.472087073	1586.942	2590.926	0.4998	1003.984	-62.61	NOBO
153	Spectrogram 1	1	557.541076999	558.068630470	1522.169	2752.858	0.5276	1230.690	-75.86	NOBO
154	Spectrogram 1	1	574.214541556	574.589382180	1457.396	2655.699	0.3748	1198.303	-75.76	NOBO
155	Spectrogram 1	1	575.214116552	575.588957176	1586.942	2623.312	0.3748	1036.370	-75.72	NOBO
156	Spectrogram 1	1	584.599014800	585.126568271	1489.782	2785.245	0.5276	1295.463	-75.75	NOBO
157	Spectrogram 1	1	585.543057852	585.945664448	1586.942	2655.699	0.4026	1068.757	-65.98	NOBO
158	Spectrogram 1	1	586.598164793	586.986888403	1651.715	2752.858	0.3887	1101.143	-74.88	NOBO
159	Spectrogram 1	1	587.222899166	587.597739789	1586.942	2558.539	0.3748	971.597	-75.78	NOBO
160	Spectrogram 1	1	588.402952561	588.833325129	1522.169	2752.858	0.4304	1230.690	-76.33	NOBO
