Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	2.943193045	3.234735752	1757.469	2636.204	0.2915	878.735	-73.57	NOBO?
2	Spectrogram 1	1	4.234310748	4.664683316	1675.088	2773.506	0.4304	1098.418	-74.02	NOBO?
5	Spectrogram 1	1	32.749963401	33.221984927	1586.942	2752.858	0.4720	1165.917	-73.56	NOBO
6	Spectrogram 1	1	33.485761814	33.832836465	1716.488	3011.951	0.3471	1295.463	-72.28	NOBO
7	Spectrogram 1	1	34.485336810	34.707464587	1554.555	2688.085	0.2221	1133.530	-70.64	NOBO
8	Spectrogram 1	1	34.665815629	34.999007294	1198.303	3303.430	0.3332	2105.127	-73.37	NOBO
9	Spectrogram 1	1	35.012890280	35.262784029	1716.488	3011.951	0.2499	1295.463	-73.57	NOBO
10	Spectrogram 1	1	35.804220655	36.151295306	1392.623	2040.354	0.3471	647.731	-73.93	NOBO
11	Spectrogram 1	1	37.345232107	37.678423773	1327.849	2072.740	0.3332	744.891	-71.08	NOBO
12	Spectrogram 1	1	38.705764741	39.052839392	1263.076	2040.354	0.3471	777.278	-72.93	NOBO
13	Spectrogram 1	1	39.177786267	39.441563002	1489.782	2331.833	0.2638	842.051	-71.58	NOBO
14	Spectrogram 1	1	40.135712305	40.704914734	1392.623	2428.993	0.5692	1036.370	-72.32	NOBO
15	Spectrogram 1	1	41.426830009	41.773904660	1392.623	2396.606	0.3471	1003.984	-72.69	NOBO
16	Spectrogram 1	1	42.509702921	42.842894587	1457.396	2202.287	0.3332	744.891	-73.04	NOBO
17	Spectrogram 1	1	46.195099242	46.583822851	1392.623	2202.287	0.3887	809.664	-70.26	NOBO
18	Spectrogram 1	1	47.361270071	47.777759652	1133.530	2526.152	0.4165	1392.623	-69.74	NOBO
19	Spectrogram 1	1	48.360845067	48.735685691	1263.076	2428.993	0.3748	1165.917	-67.47	NOBO
20	Spectrogram 1	1	49.540898882	49.860207561	1003.984	2558.539	0.3193	1554.555	-60.61	NOBO
21	Spectrogram 1	1	50.748718669	51.151325265	1133.530	2526.152	0.4026	1392.623	-67.74	NOBO
22	Spectrogram 1	1	53.303188104	53.997337407	1425.009	3335.817	0.6941	1910.808	-70.23	NOBO
23	Spectrogram 1	1	54.635954766	55.149625250	1198.303	3141.497	0.5137	1943.194	-71.39	NOBO
24	Spectrogram 1	1	51.803825610	52.386911024	1457.396	2882.405	0.5831	1425.009	-76.08	NOBO
25	Spectrogram 1	1	55.732711516	56.204733042	1295.463	2850.018	0.4720	1554.555	-72.29	NOBO
26	Spectrogram 1	1	56.815584429	57.315371927	1295.463	3076.724	0.4998	1781.261	-73.75	NOBO
27	Spectrogram 1	1	59.564415669	59.980905251	1425.009	2267.060	0.4165	842.051	-70.14	NOBO
28	Spectrogram 1	1	61.174842052	61.508033717	1425.009	2428.993	0.3332	1003.984	-67.23	NOBO
29	Spectrogram 1	1	65.714578493	65.978355228	1489.782	2396.606	0.2638	906.824	-73.40	NOBO
30	Spectrogram 1	1	66.769685434	67.102877099	1522.169	2493.766	0.3332	971.597	-73.73	NOBO
31	Spectrogram 1	1	73.572347511	74.072135009	1457.396	2493.766	0.4998	1036.370	-72.36	NOBO
32	Spectrogram 1	1	75.279954796	75.696444378	1457.396	2850.018	0.4165	1392.623	-69.79	NOBO
33	Spectrogram 1	1	75.793625281	76.307295765	1619.329	3335.817	0.5137	1716.488	-74.66	NOBO
34	Spectrogram 1	1	76.820966249	77.598413468	1392.623	3530.136	0.7774	2137.514	-71.12	NOBO
35	Spectrogram 1	1	78.195381869	78.903414158	1586.942	3432.976	0.7080	1846.034	-69.95	NOBO
36	Spectrogram 1	1	78.792350269	79.236605823	1619.329	3562.523	0.4443	1943.194	-73.77	NOBO
37	Spectrogram 1	1	79.375435684	79.902989154	1651.715	3627.296	0.5276	1975.581	-72.20	NOBO
38	Spectrogram 1	1	80.014053043	80.444425611	1538.362	3513.943	0.4304	1975.581	-73.21	NOBO
39	Spectrogram 1	1	81.166340886	81.638362412	1586.942	3497.750	0.4720	1910.808	-73.99	NOBO
40	Spectrogram 1	1	82.263096784	82.762884282	1586.942	3562.523	0.4998	1975.581	-74.37	NOBO
41	Spectrogram 1	1	84.873098164	85.275704759	1522.169	2396.606	0.4026	874.437	-69.66	NOBO
42	Spectrogram 1	1	85.220172487	85.664428041	1101.143	3562.523	0.4443	2461.379	-74.20	NOBO
43	Spectrogram 1	1	86.261396441	86.900013800	1392.623	3692.069	0.6386	2299.446	-72.03	NOBO
44	Spectrogram 1	1	87.469216228	88.107833587	1198.303	3627.296	0.6386	2428.993	-72.04	NOBO
45	Spectrogram 1	1	88.788099904	89.274004416	1198.303	3789.229	0.4859	2590.926	-71.73	NOBO
46	Spectrogram 1	1	89.773791914	90.342994343	1684.102	3724.456	0.5692	2040.354	-75.01	NOBO
47	Spectrogram 1	1	90.953845729	91.509165172	1586.942	3724.456	0.5553	2137.514	-74.80	NOBO
48	Spectrogram 1	1	92.120016558	92.605921070	1716.488	3627.296	0.4859	1910.808	-75.07	NOBO
49	Spectrogram 1	1	97.076243396	97.423318047	1748.875	2396.606	0.3471	647.731	-75.34	NOBO
50	Spectrogram 1	1	98.367361099	98.797733667	1619.329	2428.993	0.4304	809.664	-74.53	NOBO
51	Spectrogram 1	1	99.977787482	100.380394078	1489.782	2331.833	0.4026	842.051	-75.74	NOBO
52	Spectrogram 1	1	100.380394078	100.644170813	1392.623	2493.766	0.2638	1101.143	-75.55	NOBO
53	Spectrogram 1	1	100.727468729	101.019011437	1295.463	2590.926	0.2915	1295.463	-73.86	NOBO
54	Spectrogram 1	1	101.282788172	101.768692684	1457.396	3368.203	0.4859	1910.808	-76.40	NOBO
55	Spectrogram 1	1	102.324012126	102.754384694	1425.009	3497.750	0.4304	2072.740	-73.28	NOBO
56	Spectrogram 1	1	103.781725662	104.225981216	1586.942	3432.976	0.4443	1846.034	-69.69	NOBO
57	Spectrogram 1	1	104.739651701	105.156141282	1716.488	3400.590	0.4165	1684.102	-75.70	NOBO
58	Spectrogram 1	1	105.253322185	105.628162808	1489.782	3562.523	0.3748	2072.740	-73.67	NOBO
59	Spectrogram 1	1	105.725343711	106.141833293	1684.102	3756.842	0.4165	2072.740	-75.94	NOBO
60	Spectrogram 1	1	106.599971833	107.030344400	1619.329	3724.456	0.4304	2105.127	-76.04	NOBO
61	Spectrogram 1	1	107.530131899	107.918855508	1619.329	3562.523	0.3887	1943.194	-76.24	NOBO
62	Spectrogram 1	1	108.113217311	108.418643005	1781.261	2461.379	0.3054	680.118	-74.22	NOBO
63	Spectrogram 1	1	108.626887796	109.154441266	1684.102	2688.085	0.5276	1003.984	-75.62	NOBO
64	Spectrogram 1	1	109.348803071	109.779175639	1651.715	2752.858	0.4304	1101.143	-74.48	NOBO
65	Spectrogram 1	1	110.098484943	110.598272441	1392.623	3432.976	0.4998	2040.354	-73.67	NOBO
66	Spectrogram 1	1	111.014762023	111.334070702	1554.555	3465.363	0.3193	1910.808	-76.00	NOBO
67	Spectrogram 1	1	111.306304730	111.667262367	1360.236	3724.456	0.3610	2364.220	-73.99	NOBO
68	Spectrogram 1	1	111.861624172	112.153166879	1586.942	2364.220	0.2915	777.278	-75.29	NOBO
69	Spectrogram 1	1	112.333645698	112.819550210	1586.942	3530.136	0.4859	1943.194	-74.98	NOBO
70	Spectrogram 1	1	113.097209932	113.388752639	1522.169	2428.993	0.2915	906.824	-75.87	NOBO
71	Spectrogram 1	1	114.305029719	114.679870342	1586.942	2558.539	0.3748	971.597	-76.14	NOBO
72	Spectrogram 1	1	116.082051934	116.415243600	1651.715	2364.220	0.3332	712.505	-74.06	NOBO
73	Spectrogram 1	1	117.511999498	117.914606094	1651.715	2558.539	0.4026	906.824	-73.46	NOBO
74	Spectrogram 1	1	122.176682814	122.634821354	1554.555	2493.766	0.4581	939.211	-74.26	NOBO
75	Spectrogram 1	1	123.634397203	123.953705882	1619.329	2590.926	0.3193	971.597	-72.10	NOBO
76	Spectrogram 1	1	133.977222006	134.296530686	1522.169	2461.379	0.3193	939.211	-73.50	NOBO
77	Spectrogram 1	1	126.605356409	127.146792865	1716.488	3692.069	0.5414	1975.581	-75.98	NOBO
78	Spectrogram 1	1	127.563282447	128.076952931	1781.261	3756.842	0.5137	1975.581	-74.25	NOBO?
79	Spectrogram 1	1	128.548974457	129.034878969	1684.102	3659.682	0.4859	1975.581	-75.56	NOBO?
80	Spectrogram 1	1	129.326421676	129.812326188	1457.396	3724.456	0.4859	2267.060	-75.62	NOBO?
81	Spectrogram 1	1	130.214932784	130.839667157	1619.329	3627.296	0.6247	2007.967	-75.12	NOBO
82	Spectrogram 1	1	132.352912178	132.866582662	1457.396	3432.976	0.5137	1975.581	-75.66	NOBO?
83	Spectrogram 1	1	137.350787160	137.808925700	1651.715	2526.152	0.4581	874.437	-73.01	NOBO
84	Spectrogram 1	1	136.212382303	136.684403829	1651.715	2590.926	0.4720	939.211	-74.62	NOBO
85	Spectrogram 1	1	138.516957989	138.947330556	1684.102	3335.817	0.4304	1651.715	-74.45	NOBO
86	Spectrogram 1	1	139.349937152	139.960788539	1554.555	3076.724	0.6109	1522.169	-73.92	NOBO
87	Spectrogram 1	1	140.266214232	140.627171870	1392.623	3271.044	0.3610	1878.421	-75.25	NOBO
88	Spectrogram 1	1	141.959938531	142.293130197	1586.942	2590.926	0.3332	1003.984	-75.18	NOBO
89	Spectrogram 1	1	143.070577416	143.459301026	1586.942	2558.539	0.3887	971.597	-74.62	NOBO
90	Spectrogram 1	1	140.710469786	141.154725340	1619.329	2493.766	0.4443	874.437	-75.68	NOBO
91	Spectrogram 1	1	143.945204124	144.444991622	1716.488	2623.312	0.4998	906.824	-76.56	NOBO
92	Spectrogram 1	1	144.681002385	145.208555856	1198.303	3627.296	0.5276	2428.993	-75.05	NOBO
93	Spectrogram 1	1	145.861056200	146.444141615	1295.463	3724.456	0.5831	2428.993	-75.45	NOBO
94	Spectrogram 1	1	147.013344043	147.568663486	1392.623	3627.296	0.5553	2234.673	-75.43	NOBO
95	Spectrogram 1	1	147.665844388	148.054567998	1457.396	2623.312	0.3887	1165.917	-74.49	NOBO
96	Spectrogram 1	1	148.887547161	149.290153757	1619.329	2590.926	0.4026	971.597	-75.03	NOBO
97	Spectrogram 1	1	416.642648919	417.073021487	1554.555	2590.926	0.4304	1036.370	-73.35	NOBO
98	Spectrogram 1	1	417.642223916	417.947649609	1425.009	2623.312	0.3054	1198.303	-73.97	NOBO
99	Spectrogram 1	1	449.087189404	449.392615097	1619.329	2558.539	0.3054	939.211	-76.00	NOBO
100	Spectrogram 1	1	449.489796000	449.753572735	1457.396	2364.220	0.2638	906.824	-74.98	NOBO
101	Spectrogram 1	1	450.433839052	450.808679675	1651.715	2817.632	0.3748	1165.917	-75.14	NOBO
102	Spectrogram 1	1	455.390065794	455.792672390	1684.102	2558.539	0.4026	874.437	-76.14	NOBO
103	Spectrogram 1	1	471.730341295	472.063532961	1489.782	2169.900	0.3332	680.118	-64.85	NOBO
104	Spectrogram 1	1	472.688267333	472.965927054	1425.009	2428.993	0.2777	1003.984	-67.62	NOBO
105	Spectrogram 1	1	473.590661427	473.965502051	1489.782	2720.472	0.3748	1230.690	-72.83	NOBO
106	Spectrogram 1	1	474.534704479	474.923428089	1457.396	2623.312	0.3887	1165.917	-74.24	NOBO
107	Spectrogram 1	1	475.645343364	475.936886071	1425.009	2623.312	0.2915	1198.303	-74.42	NOBO
108	Spectrogram 1	1	479.254920421	479.601995072	1522.169	2752.858	0.3471	1230.690	-75.69	NOBO
109	Spectrogram 1	1	483.044976051	483.336518758	1586.942	2493.766	0.2915	906.824	-74.48	NOBO
110	Spectrogram 1	1	483.419816674	483.822423270	1586.942	2688.085	0.4026	1101.143	-75.35	NOBO
111	Spectrogram 1	1	487.043276036	487.612478464	1586.942	2882.405	0.5692	1295.463	-76.79	NOBO
