Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	7.534727157	7.898973212	2156.020	2892.222	0.3642	736.202	-79.46	NOBO
2	Spectrogram 1	1	8.106117037	8.418327941	2116.580	3326.055	0.3122	1209.475	-78.31	NOBO
4	Spectrogram 1	1	192.647651014	192.984933087	1735.333	2458.388	0.3373	723.055	-78.53	NOBO
5	Spectrogram 1	1	360.486998207	360.677102648	1735.333	2300.631	0.1901	565.298	-79.25	NOBO
6	Spectrogram 1	1	361.386928100	361.546370535	1682.747	2169.166	0.1594	486.419	-78.57	NOBO
7	Spectrogram 1	1	367.929763293	368.224118556	1498.697	2589.853	0.2944	1091.156	-78.71	NOBO
8	Spectrogram 1	1	366.527815339	366.754714187	1485.550	2261.192	0.2269	775.642	-77.73	NOBO
9	Spectrogram 1	1	371.050051155	371.203361188	1459.257	2195.459	0.1533	736.202	-78.24	NOBO
10	Spectrogram 1	1	378.547025411	378.850563790	1774.772	2221.752	0.3035	446.980	-78.80	NOBO
11	Spectrogram 1	1	379.502838680	379.741333120	1695.894	2221.752	0.2385	525.858	-78.54	NOBO
12	Spectrogram 1	1	380.435514793	380.656664184	1669.601	2248.045	0.2211	578.444	-79.30	NOBO
13	Spectrogram 1	1	381.385156293	381.584624370	1735.333	2313.777	0.1995	578.444	-77.61	NOBO
14	Spectrogram 1	1	382.346305809	382.554446412	1695.894	2221.752	0.2081	525.858	-78.82	NOBO
15	Spectrogram 1	1	394.761450328	394.995608506	1485.550	2182.313	0.2342	696.763	-72.30	NOBO
16	Spectrogram 1	1	396.495658749	396.699463089	1630.161	2169.166	0.2038	539.005	-73.10	NOBO
17	Spectrogram 1	1	397.552013750	397.768826878	1630.161	2208.606	0.2168	578.445	-75.48	NOBO
18	Spectrogram 1	1	398.460731133	398.746924462	1630.161	2208.606	0.2862	578.445	-74.73	NOBO
19	Spectrogram 1	1	405.531057840	405.695835817	1432.964	2011.409	0.1648	578.445	-76.74	NOBO
20	Spectrogram 1	1	432.185716488	432.385184566	1906.237	2261.192	0.1995	354.955	-78.67	NOBO
