Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.458138540	0.860745136	1514.563	2485.437	0.4026	970.874	-69.56	NOBO
2	Spectrogram 1	1	2.054681937	2.415639574	1514.563	2407.767	0.3610	893.204	-67.69	NOBO
3	Spectrogram 1	1	3.373565612	3.776172208	1475.728	2485.437	0.4026	1009.709	-70.57	NOBO
4	Spectrogram 1	1	5.442130535	5.733673243	1747.573	3106.796	0.2915	1359.223	-64.26	NOBO
5	Spectrogram 1	1	5.816971159	6.094630880	1669.903	2912.621	0.2777	1242.718	-65.16	NOBO
6	Spectrogram 1	1	6.302875671	6.608301364	1669.903	3029.126	0.3054	1359.223	-63.88	NOBO
7	Spectrogram 1	1	7.135854835	7.455163514	1747.573	3029.126	0.3193	1281.553	-63.88	NOBO
8	Spectrogram 1	1	7.954951012	8.246493719	1708.738	2757.282	0.2915	1048.544	-63.39	NOBO
9	Spectrogram 1	1	9.371015590	9.648675311	1747.573	2485.437	0.2777	737.864	-69.53	NOBO
10	Spectrogram 1	1	9.690324270	9.815271144	1313.869	2583.942	0.1249	1270.073	-67.31	NOBO
11	Spectrogram 1	1	10.773197182	11.009207945	1357.664	2408.759	0.2360	1051.095	-73.43	NOBO
12	Spectrogram 1	1	11.161920792	11.439580513	1401.460	2233.577	0.2777	832.117	-75.17	NOBO
13	Spectrogram 1	1	11.981016908	12.328091559	1708.029	2452.555	0.3471	744.526	-68.76	NOBO
14	Spectrogram 1	1	16.243093628	16.701232168	1445.255	3021.898	0.4581	1576.643	-65.18	NOBO
15	Spectrogram 1	1	17.395381471	17.659158206	1445.255	2364.964	0.2638	919.709	-70.95	NOBO
16	Spectrogram 1	1	18.408839453	18.728148133	1357.664	2408.759	0.3193	1051.095	-71.50	NOBO
17	Spectrogram 1	1	18.825329035	19.130754728	1401.460	2452.555	0.3054	1051.095	-70.51	NOBO
18	Spectrogram 1	1	19.463946394	19.769372087	1576.642	2496.350	0.3054	919.708	-67.91	NOBO
19	Spectrogram 1	1	20.463521390	20.755064097	1576.642	2408.759	0.2915	832.117	-72.77	NOBO
20	Spectrogram 1	1	22.212777634	22.601501243	1708.029	2715.328	0.3887	1007.299	-64.67	NOBO
21	Spectrogram 1	1	23.476129365	23.906501933	1489.051	2496.350	0.4304	1007.299	-70.79	NOBO
22	Spectrogram 1	1	15.215752660	15.548944325	1708.029	2890.511	0.3332	1182.482	-63.59	NOBO
23	Spectrogram 1	1	13.188836695	13.952400928	1401.460	2364.964	0.7636	963.504	-72.98	NOBO
24	Spectrogram 1	1	14.521603357	14.951975925	1532.847	2408.759	0.4304	875.912	-73.28	NOBO
25	Spectrogram 1	1	24.906076334	25.169853069	1489.051	2583.942	0.2638	1094.891	-65.11	NOBO
26	Spectrogram 1	1	25.516927721	25.850119386	1445.255	3021.898	0.3332	1576.643	-62.92	NOBO
