Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
27	Spectrogram 1	1	26.211077024	26.488736745	1357.664	2627.737	0.2777	1270.073	-64.54	NOBO
28	Spectrogram 1	1	26.433204801	26.710864522	1751.825	3284.672	0.2777	1532.847	-64.24	NOBO
29	Spectrogram 1	1	27.210652020	27.516077714	1795.620	3197.080	0.3054	1401.460	-64.22	NOBO
30	Spectrogram 1	1	28.029748198	28.335173891	1708.029	2934.307	0.3054	1226.278	-63.76	NOBO
31	Spectrogram 1	1	28.793312431	29.084855138	1751.825	3109.489	0.2915	1357.664	-63.69	NOBO
32	Spectrogram 1	1	29.529110692	29.806770413	1883.212	3021.898	0.2777	1138.686	-62.55	NOBO
33	Spectrogram 1	1	31.278366936	31.680973531	1532.847	2321.168	0.4026	788.321	-74.55	NOBO
34	Spectrogram 1	1	32.291824918	32.597250611	1620.438	2408.759	0.3054	788.321	-74.03	NOBO
35	Spectrogram 1	1	32.513952695	32.833261374	1313.869	2321.168	0.3193	1007.299	-73.20	NOBO
36	Spectrogram 1	1	32.847144360	33.041506165	1489.051	2671.533	0.1944	1182.482	-64.90	NOBO
37	Spectrogram 1	1	33.624591580	33.916134287	1489.051	2321.168	0.2915	832.117	-74.50	NOBO
38	Spectrogram 1	1	34.166028036	34.513102688	1313.869	2364.964	0.3471	1051.095	-73.32	NOBO
39	Spectrogram 1	1	35.457145740	35.734805461	1226.277	2321.168	0.2777	1094.891	-74.75	NOBO
40	Spectrogram 1	1	36.595550597	37.178636011	1401.460	2583.942	0.5831	1182.482	-66.68	NOBO
41	Spectrogram 1	1	37.858901887	38.303157441	1532.847	2540.146	0.4443	1007.299	-65.50	NOBO
42	Spectrogram 1	1	39.274966465	39.566509172	1489.051	2583.942	0.2915	1094.891	-65.77	NOBO
43	Spectrogram 1	1	40.538318196	40.927041806	1532.847	2583.942	0.3887	1051.095	-65.53	NOBO
44	Spectrogram 1	1	41.718372011	42.176510551	1445.255	2496.350	0.4581	1051.095	-70.40	NOBO
45	Spectrogram 1	1	46.383055327	46.785661923	1532.847	2715.328	0.4026	1182.481	-64.85	NOBO
46	Spectrogram 1	1	47.063321644	47.327098379	1576.642	2627.737	0.2638	1051.095	-65.34	NOBO
47	Spectrogram 1	1	47.618641087	47.951832752	1445.255	2583.942	0.3332	1138.687	-66.98	NOBO
48	Spectrogram 1	1	48.090662613	48.562684139	1489.051	2540.146	0.4720	1051.095	-65.29	NOBO
49	Spectrogram 1	1	48.784811916	49.215184483	1489.051	2671.533	0.4304	1182.482	-65.49	NOBO
50	Spectrogram 1	1	49.354014344	49.701088995	1532.847	2759.124	0.3471	1226.277	-63.12	NOBO
51	Spectrogram 1	1	50.200876494	50.728429964	1357.664	2759.124	0.5276	1401.460	-63.82	NOBO
52	Spectrogram 1	1	51.311515716	51.797420228	1489.051	2671.533	0.4859	1182.482	-64.08	NOBO
53	Spectrogram 1	1	52.505452517	52.838644182	1313.869	2408.759	0.3332	1094.890	-69.87	NOBO
54	Spectrogram 1	1	53.935400081	54.213059802	1532.847	2321.168	0.2777	788.321	-75.35	NOBO
55	Spectrogram 1	1	55.365347645	55.754071255	1620.438	2715.328	0.3887	1094.890	-64.02	NOBO
56	Spectrogram 1	1	56.573167433	56.878593126	1576.642	2627.737	0.3054	1051.095	-63.10	NOBO
57	Spectrogram 1	1	57.445407301	57.945194799	1401.460	2408.759	0.4998	1007.299	-71.91	NOBO?
58	Spectrogram 1	1	58.819822921	59.250195489	1532.847	2496.350	0.4304	963.503	-68.44	NOBO?
59	Spectrogram 1	1	59.930461806	60.582962151	1532.847	2452.555	0.6525	919.708	-69.78	NOBO?
60	Spectrogram 1	1	61.013334718	61.429824300	1532.847	2496.350	0.4165	963.503	-68.65	NOBO?
61	Spectrogram 1	1	67.482806467	67.899296048	1532.847	2671.533	0.4165	1138.686	-61.52	NOBO
62	Spectrogram 1	1	68.732275212	69.051583891	1489.051	2583.942	0.3193	1094.891	-60.13	NOBO
63	Spectrogram 1	1	69.787382153	70.176105762	1532.847	2583.942	0.3887	1051.095	-61.21	NOBO
64	Spectrogram 1	1	74.368767552	74.785257134	1532.847	2408.759	0.4165	875.912	-72.54	NOBO
65	Spectrogram 1	1	75.673768242	75.993076921	1401.460	2452.555	0.3193	1051.095	-70.74	NOBO
66	Spectrogram 1	1	83.739781101	84.031323808	1620.438	2671.533	0.2915	1051.095	-61.11	NOBO
67	Spectrogram 1	1	82.454081643	82.871007797	1436.893	2524.272	0.4169	1087.379	-70.51	NOBO
68	Spectrogram 1	1	84.761071350	85.261382734	1359.223	2873.786	0.5003	1514.563	-64.71	NOBO
69	Spectrogram 1	1	85.886771964	86.442673503	1359.223	2679.612	0.5559	1320.388	-63.66	NOBO
70	Spectrogram 1	1	95.388771473	95.833492704	1747.573	2757.282	0.4447	1009.709	-63.82	NOBO
71	Spectrogram 1	1	98.335049236	98.793668005	1514.563	2757.282	0.4586	1242.718	-64.01	NOBO
72	Spectrogram 1	1	99.502442466	100.002753850	1475.728	2796.117	0.5003	1320.388	-64.20	NOBO
73	Spectrogram 1	1	100.739323389	101.142352004	1320.388	2485.437	0.4030	1165.049	-65.21	NOBO
74	Spectrogram 1	1	105.895310156	106.312236309	1666.667	2750.000	0.4169	1083.333	-65.56	NOBO
75	Spectrogram 1	1	106.923728001	107.243371386	1541.667	2791.667	0.3196	1250.000	-63.87	NOBO
76	Spectrogram 1	1	107.257268924	107.618604924	1208.333	2375.000	0.3613	1166.667	-73.02	NOBO
77	Spectrogram 1	1	107.840965539	108.202301539	1750.000	2791.667	0.3613	1041.667	-63.32	NOBO
78	Spectrogram 1	1	108.299584309	108.619227693	1416.667	2333.333	0.3196	916.667	-72.71	NOBO
79	Spectrogram 1	1	109.216820740	109.619849356	1416.667	2416.667	0.4030	1000.000	-65.98	NOBO
80	Spectrogram 1	1	110.231341048	110.662164740	1375.000	2541.667	0.4308	1166.667	-66.83	NOBO
81	Spectrogram 1	1	110.912320432	111.218066278	1791.667	2583.333	0.3057	791.667	-64.65	NOBO
82	Spectrogram 1	1	121.641218688	121.919169457	1791.667	2625.000	0.2780	833.333	-64.89	NOBO
83	Spectrogram 1	1	122.558456226	122.947587303	1666.667	2791.667	0.3891	1125.000	-64.32	NOBO
84	Spectrogram 1	1	124.462418247	124.851549323	1250.000	2291.667	0.3891	1041.667	-73.65	NOBO
85	Spectrogram 1	1	132.939916705	133.356842858	1291.667	2291.667	0.4169	1000.000	-73.01	NOBO
86	Spectrogram 1	1	141.667568787	141.959417095	1458.333	2291.667	0.2918	833.333	-75.73	NOBO
87	Spectrogram 1	1	144.586051863	144.975182940	1583.333	2625.000	0.3891	1041.667	-66.07	NOBO
88	Spectrogram 1	1	145.656162324	146.017498324	1708.333	2583.333	0.3613	875.000	-64.63	NOBO
89	Spectrogram 1	1	149.019366630	149.380702630	1458.333	2333.333	0.3613	875.000	-74.63	NOBO
90	Spectrogram 1	1	150.520299319	150.853840242	1208.333	2375.000	0.3335	1166.667	-69.62	NOBO
91	Spectrogram 1	1	151.951745780	152.354774396	1166.667	2458.333	0.4030	1291.667	-70.50	NOBO
92	Spectrogram 1	1	153.410987318	153.758425780	1333.333	2500.000	0.3474	1166.667	-69.53	NOBO
93	Spectrogram 1	1	155.050896856	155.481720548	1208.333	2375.000	0.4308	1166.667	-73.07	NOBO
94	Spectrogram 1	1	162.527769971	162.861310894	1333.333	2416.667	0.3335	1083.333	-74.26	NOBO
95	Spectrogram 1	1	163.597880432	164.000909048	1375.000	2375.000	0.4030	1000.000	-75.39	NOBO
96	Spectrogram 1	1	164.612400740	165.043224432	1250.000	2333.333	0.4308	1083.333	-72.41	NOBO
97	Spectrogram 1	1	165.682511201	166.043847201	1416.667	2375.000	0.3613	958.333	-74.43	NOBO
98	Spectrogram 1	1	177.676085392	178.120806622	1500.000	2583.333	0.4447	1083.333	-67.54	NOBO
99	Spectrogram 1	1	179.135326929	179.468867852	1666.667	2750.000	0.3335	1083.333	-66.11	NOBO
100	Spectrogram 1	1	180.024769391	180.427798006	1583.333	2791.667	0.4030	1208.333	-67.83	NOBO
101	Spectrogram 1	1	180.511183237	180.886416775	1416.667	2500.000	0.3752	1083.333	-70.91	NOBO
102	Spectrogram 1	1	183.137818005	183.596436774	1416.667	2583.333	0.4586	1166.667	-68.22	NOBO
103	Spectrogram 1	1	185.750555234	186.223071542	1375.000	2708.333	0.4725	1333.333	-66.69	NOBO
104	Spectrogram 1	1	187.070821388	187.515542618	1333.333	2541.667	0.4447	1208.333	-68.21	NOBO
105	Spectrogram 1	1	188.404983550	188.794114627	1541.667	2666.667	0.3891	1125.000	-65.68	NOBO
106	Spectrogram 1	1	189.878122627	190.267253703	1666.667	2583.333	0.3891	916.667	-66.27	NOBO
107	Spectrogram 1	1	191.615314934	192.018343549	1583.333	2583.333	0.4030	1000.000	-66.84	NOBO
108	Spectrogram 1	1	194.811748778	195.200879855	1375.000	2625.000	0.3891	1250.000	-67.97	NOBO
109	Spectrogram 1	1	212.364338221	212.670084067	1541.667	2416.667	0.3057	875.000	-73.63	NOBO
110	Spectrogram 1	1	246.409186065	246.812214680	1708.333	2416.667	0.4030	708.333	-73.11	NOBO
111	Spectrogram 1	1	247.395911295	247.757247295	1625.000	2541.667	0.3613	916.667	-67.12	NOBO
112	Spectrogram 1	1	521.488180791	521.905106944	1333.333	2375.000	0.4169	1041.667	-74.13	NOBO
113	Spectrogram 1	1	522.516598636	522.877934636	1250.000	2500.000	0.3613	1250.000	-72.91	NOBO
114	Spectrogram 1	1	523.642299251	524.059225405	1208.333	2500.000	0.4169	1291.667	-72.59	NOBO
